,title,author,rating,rating_NUM,review_NUM,summary
1,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPre",4.47,7146479,113916,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft"
2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPre",4.5,2541857,43069,"There is a door at the end of a silent corridor. And its haunting Harry Pottters dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming"
3,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPre",4.43,2766481,53654,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as hes packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.And strike it does. For in Harrys"
4,Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,2841725,66145,"Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrids motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he cant keep hiding.To stop"
5,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPre",4.57,2849955,56343,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the"
6,Harry Potter and the Cursed Child: Parts One and Two,"John Tiffany, Jack Thorne, J.K. Rowling",3.61,714423,65233,"Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in Londons West End on July 30, 2016.It was always difficult being Harry Potter"
7,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPre",4.56,2629734,47227,"Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at"
8,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,2469415,40047,"The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.And yet . . .As in all wars, life goes on. The Weasley twins expand their business."
9,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",J.K. Rowling,4.62,104562,566, 
10,Harry Potter Series Box Set,J.K. Rowling,4.73,254295,7420,"Over 4000 pages of Harry Potter and his world, including all 7 books.All seven eBooks in the multi-award winning, internationally bestselling Harry Potter series, available as one download with stunning cover art by Olly Moss. Enjoy the stories that have captured the imagination of millions worldwide."
