,keyword,title,author,rating,rating_NUM,review_NUM,summary
1,deep learning,Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",4.44,1245,94,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives.Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge"
2,deep learning,Deep Learning with Python,Francois Chollet,4.64,705,83,"Deep learning is applicable to a widening range of artificial intelligence problems, such as image classification, speech recognition, text classification, question answering, text-to-speech, and optical character recognition. It is the technology behind photo tagging systems at Facebook and Google, self-driving cars, speech recognition systems on your smartphone, and much"
3,deep learning,Neural Networks and Deep Learning,Michael Nielsen,4.52,287,47,"Neural Networks and Deep Learning is a free online book. The book will teach you about:* Neural networks, a beautiful biologically-inspired programming paradigm which enables a computer to learn from observational data* Deep learning, a powerful set of techniques for learning in neural networksNeural networks and deep learning currently provide the best solutions to many"
4,deep learning,The Deep Learning Revolution,Terrence J. Sejnowski,3.75,256,37,"How deep learning--from Google Translate to driverless cars to personal cognitive assistants--is changing our lives and transforming every sector of the economy.The deep learning revolution has brought us driverless cars, the greatly improved Google Translate, fluent conversations with Siri and Alexa, and enormous profits from automated trading on the New York Stock"
5,deep learning,Grokking Deep Learning,Andrew W. Trask,4.25,124,23,"Artificial Intelligence is one of the most exciting technologies of the century, and Deep Learning is in many ways the brain behind some of the worlds smartest Artificial Intelligence systems out there. Loosely based on neuron behavior inside of human brains, these systems are rapidly catching up with the intelligence of their human creators, defeating the world champion"
6,deep learning,Fundamentals of Deep Learning: Designing Next-Generation Artificial Intelligence Algorithms,Nikhil Buduma,3.87,91,10, 
7,deep learning,Deep Learning: A Practitioner's Approach,"Josh Patterson, Adam Gibson",3.82,92,12,"Looking for one central source where you can learn key findings on machine learning? Deep Learning: The Definitive Guide provides developers and data scientists with the most practical information available on the subject, including deep learning theory, best practices, and use cases.Authors Adam Gibson and Josh Patterson present the latest relevant papers and techniques"
8,deep learning,In Search of Deeper Learning: The Quest to Remake the American High School,"Jal Mehta, Sarah Fine",4.38,114,16,"""The best book on high school dynamics I have ever read.""--Jay Mathews, Washington PostAn award-winning professor and an accomplished educator take us beyond the hype of reform and inside some of America's most innovative classrooms to show what is working--and what isn't--in our schools.What would it take to transform industrial-era schools into modern organizations"
9,deep learning,Deep Learning for Computer Vision with Python <U+2014> Starter Bundle,Adrian Rosebrock,4.38,68,6,"The Starter Bundle begins with a gentle introduction to the world of computer vision and machine learning, builds to neural networks, and then turns full steam into deep learning and Convolutional Neural Networks. You'll even solve fun and interesting real-world problems using deep learning along the way."
10,deep learning,Purposeful Play: A Teacher's Guide to Igniting Deep and Joyful Learning Across the Day,"Kristine Mraz, Alison Porcelli, Cheryl Tyler",4.46,254,20,"Play is serious business.Whether it's reenacting a favorite book (comprehension and close reading), negotiating the rules for a game (speaking and listening), or collaborating over building blocks (college and career readiness and STEM), Kristi Mraz, Alison Porcelli, and Cheryl Tyler see every day how play helps students reach standards and goals in ways that in-their-seat"
11,deep learning,"Fabulous Friendship Festival: Loving Wildly, Learning Deeply, Living Fully with Our Friends",S.A.R.K.,4.04,226,11,"Create new friendships, deliciously celebrate the ones you have, practice new ways to be a better friend . . . with others and yourself. Let SARK show you how! Fabulous Friendship Festival is SARKs glowing celebration of friendships, an irresistible package of brightly colored drawings and art, inspiring messages and teachings, all wrapped up in her signature style and"
12,deep learning,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow","Sebastian Raschka, Vahid Mirjalili",4.28,584,29,"Key Features A practical approach to the frameworks of data science, machine learning, and deep learning Use the most powerful Python libraries to implement machine learning and deep learning Learn best practices to improve and optimize your machine learning systems and algorithms Book Description Machine learning is eating the software world, and now deep learning is"
13,deep learning,"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play",David        Foster,4.28,65,9,"Generative modeling is one of the hottest topics in artificial intelligence. Recent advances in the field have shown how it's possible to teach a machine to excel at human endeavors--such as drawing, composing music, and completing tasks--by generating an understanding of how its actions affect its environment.With this practical book, machine learning engineers and data"
14,deep learning,Deep Learning (MIT Press Essential Knowledge series),John D. Kelleher,3.87,100,12,"An accessible introduction to the artificial intelligence technology that enables computer vision, speech recognition, machine translation, and driverless cars. Deep learning is an artificial intelligence technology that enables computer vision, speech recognition in mobile phones, machine translation, AI games, driverless cars, and other applications. When we use"
15,deep learning,Deep Learning With Python: Develop Deep Learning Models on Theano and TensorFlow Using Keras,Jason  Brownlee,3.93,44,5,"Deep learning is the most interesting and powerful machine learning technique right now. Top deep learning libraries are available on the Python ecosystem like Theano and TensorFlow. Tap into their power in a few lines of code using Keras, the best-of-breed applied deep learning library. Discover exactly how to get started and apply deep learning to your own machine"
16,deep learning,Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,Chris Albon,4.27,52,7,"This practical guide provides nearly 200 self-contained recipes to help you solve machine learning challenges you may encounter in your daily work. If you're comfortable with Python and its libraries, including pandas and scikit-learn, you'll be able to address specific problems such as loading data, handling text or numerical data, model selection, and dimensionality"
17,deep learning,Deep Learning for Coders with Fastai and Pytorch: AI Applications Without a PhD,"Jeremy   Howard, Sylvain Gugger",4.7,27,12,"Deep learning is often viewed as the exclusive domain of math PhDs and big tech companies. But as this hands-on guide demonstrates, programmers comfortable with Python can achieve impressive results in deep learning with little math background, small amounts of data, and minimal code. How? With fastai, the first library to provide a consistent interface to the most"
18,deep learning,"Deep Reinforcement Learning Hands-On: Apply modern RL methods, with deep Q-networks, value iteration, policy gradients, TRPO, AlphaGo Zero and more",Maxim Lapan,4.39,36,6,"This practical guide will teach you how deep learning (DL) can be used to solve complex real-world problems. Key Features Explore deep reinforcement learning (RL), from the first principles to the latest algorithms Evaluate high-profile RL methods, including value iteration, deep Q-networks, policy gradients, TRPO, PPO, DDPG, D4PG, evolution strategies and genetic"
19,deep learning,Deep Learning Fundamentals: An Introduction for Beginners,Chao Pan,3.85,27,1,"***** BUY NOW (will soon return to 13.68 $) ***** Are you thinking of learning deep Learning fundamentals, concepts and algorithms? If you are looking for a complete beginners guide to learn deep learning with examples, in just a few hours, this book is for you. This book is the first part of the book deep learning with Python write by the same author. From AI"
20,deep learning,"Artificial Intelligence for Humans, Volume 3: Deep Learning and Neural Networks",Jeff Heaton,3.91,78,0,"Neural networks have been a mainstay of artificial intelligence since its earliest days. Now, exciting new technologies such as deep learning and convolution are taking neural networks in bold new directions. In this book, we will demonstrate the neural networks in a variety of real-world tasks such as image recognition and data science. We examine current neural network"
21,deep learning,Deep Learning with R,"Francois Chollet, J.J. Allaire",4.56,57,12,"SummaryDeep Learning with R introduces the world of deep learning using the powerful Keras library and its R language interface. The book builds your understanding of deep learning through intuitive explanations and practical examples.Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.About the TechnologyMachine"
22,deep learning,"Data Science from Scratch with Python: Step-by-Step Beginner Guide for Statistics, Machine Learning, Deep learning and NLP using Python, Numpy, Pandas, Scipy, Matplotlib, Sciki-Learn, TensorFlow",Peter Morgan,4,26,5,"***** BUY NOW (will soon return to 15.77 $) ***** Are you thinking of learning data science from scratch using Python? (For Beginners) If you are looking for a complete step-by-step guide to data science using Python from scratch, this book is for you. After his great success with his first book Data Analysis from Scratch with Python, Peter Morgan publishes his second"
23,deep learning,Learning Tensorflow: A Guide to Building Deep Learning Systems,"Tom Hope, Yehezkel S Resheff, Itay Lieder",3.6,42,4,"Roughly inspired by the human brain, deep neural networks trained with large amounts of data can solve complex tasks with unprecedented accuracy. This practical book provides an end-to-end guide to TensorFlow, the leading open source software library that helps you build and train neural networks for computer vision, natural language processing (NLP), speech recognition,"
24,deep learning,Deep Learning for Computer Vision with Python <U+2014> ImageNet Bundle,Adrian Rosebrock,4.79,19,1,"Inside this bundle, I demonstrate how to build a custom Python framework to train network architectures from scratch this is the exact same framework I use when training my own neural networks. We'll use this framework to train AlexNet, VGGNet, SqueezeNet, GoogLeNet, and ResNet on the challenging ImageNet dataset.Using the training techniques I outline in this bundle,"
25,deep learning,Build Deeper: The Path to Deep Learning,Thimira Amaratunga,4,8,3,"New 2019 Edition! Deep Learning is no longer shrouded in mystery. In fact, it is the emerging new frontier the bleeding edge of AI. It is increasingly achieving superhuman feats and evolving beyond human comprehension. From image and voice recognition, to AI personal assistants and self-driving cars, achievements and breakthroughs that were once mere science fiction are"
26,deep learning,Deeper Learning: How Eight Innovative Public Schools Are Transforming Education in the Twenty-First Century,Monica  Martinez,4.13,87,15,"For centuries societiesand the policy-makers, teachers, and parents that inhabit themhave grappled with the controversy around how students learn best. As far back as Confucius, philosophers and experts have upheld the virtues of learning by doing rather than by listening. Yet U.S. schools continue their attempts to engage students through conventional methods like"
27,deep learning,Deep Learning for Computer Vision with Python <U+2014> Practitioner Bundle,Adrian Rosebrock,4.63,24,0,"The Practitioner Bundle is appropriate if you want to take a deeper dive in deep learning. Inside this bundle, I cover more advanced techniques and best practices/rules of thumb. When you factor in the cost/time of training these deeper networks, the techniques I cover in the Practitioner Bundle will save you so much time that the bundle will pay for itself, guaranteed."
