읍면동명,투표구명,선거인수,투표수,"새누리당
정용기","새정치민주연합
박영순",계,"무효
투표수",기권수
합계,,"161,571","52,914","30,241","22,434","52,675",239,"108,657"
거소우편투표,,"1,903","1,837",989,809,"1,798",39,66
관외사전투표,,174,174,96,74,170,4,0
관내사전투표,,"13,474","13,474","7,790","5,608","13,398",76,0
오정동,소계,"14,591","3,495","2,042","1,446","3,488",7,"11,096"
,오정동제1투,"2,543",632,332,299,631,1,"1,911"
,오정동제2투,"1,702",338,198,140,338,0,"1,364"
,오정동제3투,"2,487",433,244,188,432,1,"2,054"
,오정동제4투,"2,591",664,460,203,663,1,"1,927"
,오정동제5투,"3,061",904,532,372,904,0,"2,157"
,오정동제6투,"2,207",524,276,244,520,4,"1,683"
대화동,소계,"7,031","1,793","1,136",633,"1,769",24,"5,238"
,대화동제1투,"2,134",548,329,199,528,20,"1,586"
,대화동제2투,"2,001",513,337,173,510,3,"1,488"
,대화동제3투,"2,896",732,470,261,731,1,"2,164"
회덕동,소계,"12,907","3,951","2,393","1,545","3,938",13,"8,956"
,회덕동제1투,"3,260","1,079",643,431,"1,074",5,"2,181"
,회덕동제2투,"2,693",738,478,258,736,2,"1,955"
,회덕동제3투,"2,790",750,424,325,749,1,"2,040"
,회덕동제4투,"3,466","1,108",649,456,"1,105",3,"2,358"
,회덕동제5투,698,276,199,75,274,2,422
비래동,소계,"13,495","2,973","1,746","1,223","2,969",4,"10,522"
,비래동제1투,"2,740",602,359,242,601,1,"2,138"
,비래동제2투,"2,453",512,295,217,512,0,"1,941"
,비래동제3투,"2,712",593,338,253,591,2,"2,119"
,비래동제4투,"3,152",695,431,264,695,0,"2,457"
,비래동제5투,"2,438",571,323,247,570,1,"1,867"
송촌동,소계,"20,699","5,193","2,686","2,500","5,186",7,"15,506"
,송촌동제1투,"3,410","1,034",521,511,"1,032",2,"2,376"
,송촌동제2투,"3,494",838,398,438,836,2,"2,656"
,송촌동제3투,"3,454",851,399,451,850,1,"2,603"
,송촌동제4투,"3,615",926,462,462,924,2,"2,689"
,송촌동제5투,"1,927",385,209,176,385,0,"1,542"
,송촌동제6투,"2,325",484,327,157,484,0,"1,841"
,송촌동제7투,"2,474",675,370,305,675,0,"1,799"
중리동,소계,"17,890","4,015","2,278","1,725","4,003",12,"13,875"
,중리동제1투,"2,581",613,378,234,612,1,"1,968"
,중리동제2투,"1,929",432,238,194,432,0,"1,497"
,중리동제3투,"2,675",538,309,229,538,0,"2,137"
,중리동제4투,"2,807",731,388,339,727,4,"2,076"
,중리동제5투,"2,605",496,273,220,493,3,"2,109"
,중리동제6투,"2,755",683,420,261,681,2,"2,072"
,중리동제7투,"2,538",522,272,248,520,2,"2,016"
법1동,소계,"10,137","2,901","1,637","1,255","2,892",9,"7,236"
,법1동제1투,"1,959",413,216,195,411,2,"1,546"
,법1동제2투,"2,522",658,342,315,657,1,"1,864"
,법1동제3투,"3,403","1,041",582,455,"1,037",4,"2,362"
,법1동제4투,"2,253",789,497,290,787,2,"1,464"
법2동,소계,"13,557","4,305","2,344","1,946","4,290",15,"9,252"
,법2동제1투,"2,498",905,583,316,899,6,"1,593"
,법2동제2투,"3,810","1,247",686,558,"1,244",3,"2,563"
,법2동제3투,"3,931","1,088",529,557,"1,086",2,"2,843"
,법2동제4투,924,243,130,111,241,2,681
,법2동제5투,"2,394",822,416,404,820,2,"1,572"
신탄진동,소계,"9,787","2,741","1,684","1,050","2,734",7,"7,046"
,신탄진동제1투,"2,910",717,457,260,717,0,"2,193"
,신탄진동제2투,"3,118",958,561,394,955,3,"2,160"
,신탄진동제3투,"3,235",876,540,332,872,4,"2,359"
,신탄진동제4투,524,190,126,64,190,0,334
석봉동,소계,"8,660","2,105","1,187",914,"2,101",4,"6,555"
,석봉동제1투,"2,757",656,407,248,655,1,"2,101"
,석봉동제2투,"1,809",486,338,146,484,2,"1,323"
,석봉동제3투,"4,094",963,442,520,962,1,"3,131"
덕암동,소계,"12,095","2,910","1,672","1,230","2,902",8,"9,185"
,덕암동제1투,"3,354",772,449,319,768,4,"2,582"
,덕암동제2투,"3,828",932,535,396,931,1,"2,896"
,덕암동제3투,"3,548",777,456,318,774,3,"2,771"
,덕암동제4투,"1,365",429,232,197,429,0,936
목상동,소계,"5,171","1,047",561,476,"1,037",10,"4,124"
,목상동제1투,"2,520",456,258,194,452,4,"2,064"
,목상동제2투,"2,651",591,303,282,585,6,"2,060"
