번호,발령일시,발령원,발령구분,재난종류,지역
1,2019-12-30 15:36,DMB인터페이스,DMB,한파 경보,"강릉시,동해시,속초시,삼척시,홍천군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,동두천시,파주시,양주시,연천군,포천시"
2,2019-12-30 15:23,DMB인터페이스,DMB,한파 경보,"충주시,제천시,괴산군,음성군"
3,2019-12-30 0:36,DMB인터페이스,DMB,지진통보,"대구광역시,경상북도,부산광역시,울산광역시,경상남도"
4,2019-12-25 17:09,DMB인터페이스,DMB,재난위험,"세종특별자치시,충청북도,충청남도,대구광역시"
5,2019-12-24 17:29,DMB인터페이스,DMB,재난위험,"세종특별자치시,충청북도,충청남도"
6,2019-12-24 14:20,DMB인터페이스,DMB,화재 경보,광양시
7,2019-12-24 13:42,DMB인터페이스,DMB,화재 경보,광양시
8,2019-12-23 23:56,DMB인터페이스,DMB,안개주의보,군위군
9,2019-12-23 17:29,DMB인터페이스,DMB,화재 경보,"노원구,도봉구"
10,2019-12-19 19:31,DMB인터페이스,DMB,강풍 경보,울릉군
11,2019-12-14 7:57,DMB인터페이스,DMB,재난위험,경상북도
12,2019-12-14 6:56,DMB인터페이스,DMB,재난위험,경상북도
13,2019-12-11 19:09,DMB인터페이스,DMB,재난위험,"서울특별시,인천광역시,경기도"
14,2019-12-10 17:32,DMB인터페이스,DMB,재난위험,"서울특별시,인천광역시,경기도,강원도,세종특별자치시,충청북도,충청남도,대구광역시,부산광역시"
15,2019-12-09 17:40,DMB인터페이스,DMB,재난위험,"서울특별시,인천광역시,경기도,충청북도"
16,2019-12-06 11:02,DMB인터페이스,DMB,건조 경보,"강릉시,동해시,삼척시,홍천군,평창군,정선군"
17,2019-12-05 11:11,중앙(Web),DMB,건조 경보,"강릉시,동해시,속초시,삼척시,양구군,인제군,고성군,양양군"
18,2019-11-27 10:44,DMB인터페이스,DMB,화재 경보,여수시
19,2019-11-25 7:05,DMB인터페이스,DMB,풍랑 경보,"영덕군,울진군"
20,2019-10-27 15:41,DMB인터페이스,DMB,지진통보,"대구광역시,경상북도,경상남도"
21,2019-10-12 14:30,DMB인터페이스,DMB,풍랑 경보,"중구,서구,동구,영도구,남구,해운대구,사하구,강서구,수영구,기장군,거제시,통영시"
22,2019-10-12 11:14,DMB인터페이스,DMB,풍랑 경보,"포항시,강릉시,경주시,동해시,속초시,삼척시,영덕군,고성군,양양군,울진군"
23,2019-10-12 11:15,DMB인터페이스,DMB,풍랑 경보,"남구,북구,동구,울주군"
24,2019-10-12 11:14,DMB인터페이스,DMB,강풍 경보,"울산광역시,울릉군"
25,2019-10-05 9:18,DMB인터페이스,DMB,풍랑 경보,"강릉시,동해시,속초시,삼척시,고성군,양양군"
26,2019-10-03 13:03,DMB인터페이스,DMB,폭풍해일 주의보,울릉군
27,2019-10-03 13:03,DMB인터페이스,DMB,강풍 경보,울릉군
28,2019-10-03 10:14,DMB인터페이스,DMB,폭풍해일 주의보,"강릉시,동해시,속초시,삼척시,고성군,양양군"
29,2019-10-03 10:10,DMB인터페이스,DMB,폭풍해일 주의보,"포항시,경주시,영덕군,울진군"
30,2019-10-03 10:14,DMB인터페이스,DMB,풍랑 경보,"포항시,강릉시,경주시,동해시,속초시,삼척시,영덕군,고성군,양양군,울진군"
31,2019-10-03 9:03,DMB인터페이스,DMB,홍수 경보,"창원시,김해시,북구,밀양시,사하구,양산시,강서구,사상구"
32,2019-10-03 8:36,DMB인터페이스,DMB,홍수 주의보,"김해시,북구,사하구,양산시,강서구,사상구"
33,2019-10-03 4:51,DMB인터페이스,DMB,홍수 주의보,"군위군,의성군"
34,2019-10-03 4:39,DMB인터페이스,DMB,홍수 주의보,"중구,동구,서구,남구,북구,수성구,달서구,달성군,칠곡군"
35,2019-10-03 4:38,DMB인터페이스,DMB,홍수 주의보,"상주시,문경시"
36,2019-10-03 4:03,DMB인터페이스,DMB,홍수 주의보,"창원시,김해시,북구,밀양시,함안군,사하구,창녕군,양산시,강서구,의령군,사상구"
37,2019-10-03 1:34,DMB인터페이스,DMB,태풍 경보,"강릉시,동해시,속초시,삼척시,고성군,양양군,울릉군"
38,2019-10-03 1:34,DMB인터페이스,DMB,태풍 경보,"강릉시,동해시,태백시,속초시,삼척시,홍천군,평창군,정선군,양구군,인제군,고성군,양양군"
39,2019-10-03 1:17,DMB인터페이스,DMB,홍수 경보,포항시
40,2019-10-03 1:01,DMB인터페이스,DMB,홍수 주의보,"창원시,김해시,북구,밀양시,사하구,양산시,강서구,사상구"
41,2019-10-03 0:37,DMB인터페이스,DMB,홍수 경보,"포항시,경주시"
42,2019-10-03 0:25,DMB인터페이스,DMB,홍수 주의보,"밀양시,청도군"
43,2019-10-02 23:46,DMB인터페이스,DMB,홍수 주의보,"남구,북구,동구,중구,울주군"
44,2019-10-02 23:42,DMB인터페이스,DMB,홍수 주의보,포항시
45,2019-10-02 23:36,DMB인터페이스,DMB,홍수 주의보,"포항시,경주시"
46,2019-10-02 23:27,DMB인터페이스,DMB,호우 경보,강릉시
47,2019-10-02 23:06,DMB인터페이스,DMB,홍수 주의보,합천군
48,2019-10-02 23:06,DMB인터페이스,DMB,호우 경보,울릉군
49,2019-10-02 22:28,DMB인터페이스,DMB,태풍 경보,남원시
50,2019-10-02 21:56,DMB인터페이스,DMB,홍수 경보,"김천시,구미시"
51,2019-10-02 21:21,DMB인터페이스,DMB,홍수 주의보,"함안군,진주시,의령군"
52,2019-10-02 21:03,DMB인터페이스,DMB,호우 경보,"동해시,태백시,삼척시,정선군"
53,2019-10-02 21:03,DMB인터페이스,DMB,태풍 경보,"남구,포항시,북구,동구,경주시,울주군,영덕군,울진군"
54,2019-10-02 20:23,DMB인터페이스,DMB,홍수 주의보,"김천시,구미시"
55,2019-10-02 20:24,DMB인터페이스,DMB,태풍 경보,"포항시,경주시,울산광역시,영덕군,울진군"
56,2019-10-02 20:24,DMB인터페이스,DMB,태풍 경보,"중구,창원시,서구,동구,영도구,구미시,남구,영주시,영천시,대구광역시,해운대구,상주시,사하구,문경시,경산시,강서구,군위군,의성군,사천시,청송군,수영구,영양군,남해군,하동군,기장군,청도군,칠곡군,예천군,거제시,봉화군,고성군,울진군,통영시,안동시"
57,2019-10-02 18:03,DMB인터페이스,DMB,태풍 경보,"창원시,김천시,김해시,밀양시,함안군,창녕군,양산시,진주시,사천시,부산광역시,의령군,남해군,하동군,산청군,고령군,함양군,성주군,거창군,합천군,거제시,고성군,통영시"
58,2019-10-02 17:29,DMB인터페이스,DMB,호우 경보,"김천시,고령군,성주군"
59,2019-10-02 16:53,DMB인터페이스,DMB,호우 경보,"진주시,의령군,거제시,고성군,통영시"
60,2019-10-02 15:03,DMB인터페이스,DMB,호우 경보,"영덕군,울진군"
61,2019-10-02 14:31,DMB인터페이스,DMB,호우 경보,"사천시,남해군,하동군,산청군,함양군"
62,2019-10-02 10:31,DMB인터페이스,DMB,호우 경보,"포항시,경주시"
