거주지역별,성별,연령대별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
전국,총계,총계,일반가구수,,10698686,10743492,11000007,11233906,11456266
전국,총계,30세미만,일반가구수,,190144,151925,158119,168225,168873
전국,총계,30~39세,일반가구수,,1390356,1344252,1334292,1334744,1290487
전국,총계,40~49세,일반가구수,,2623575,2569440,2566384,2536894,2518012
전국,총계,50~59세,일반가구수,,2917855,2929544,2956834,3006339,3045751
전국,총계,60~69세,일반가구수,,1974711,2079991,2184860,2282451,2407572
전국,총계,70~79세,일반가구수,,1238467,1264055,1344784,1403438,1463686
전국,총계,80세이상,일반가구수,,363578,404285,454734,501815,561885
전국,남자,총계,일반가구수,,8196632,8199382,8310542,8400153,8489026
전국,남자,30세미만,일반가구수,,115245,92375,95281,99039,97795
전국,남자,30~39세,일반가구수,,1097817,1061595,1041221,1028446,983903
전국,남자,40~49세,일반가구수,,2116433,2058752,2034485,1990755,1960141
전국,남자,50~59세,일반가구수,,2305338,2302599,2301419,2317821,2329987
전국,남자,60~69세,일반가구수,,1501127,1575322,1645940,1708317,1789718
전국,남자,70~79세,일반가구수,,849253,869499,922663,960036,998048
전국,남자,80세이상,일반가구수,,211419,239240,269533,295739,329434
전국,여자,총계,일반가구수,,2502054,2544110,2689465,2833753,2967240
전국,여자,30세미만,일반가구수,,74899,59550,62838,69186,71078
전국,여자,30~39세,일반가구수,,292539,282657,293071,306298,306584
전국,여자,40~49세,일반가구수,,507142,510688,531899,546139,557871
전국,여자,50~59세,일반가구수,,612517,626945,655415,688518,715764
전국,여자,60~69세,일반가구수,,473584,504669,538920,574134,617854
전국,여자,70~79세,일반가구수,,389214,394556,422121,443402,465638
전국,여자,80세이상,일반가구수,,152159,165045,185201,206076,232451
서울특별시,총계,총계,일반가구수,,1875295,1864059,1875189,1884423,1894875
서울특별시,총계,30세미만,일반가구수,,36359,28462,30254,32587,32760
서울특별시,총계,30~39세,일반가구수,,237052,226117,225249,223802,212369
서울특별시,총계,40~49세,일반가구수,,443639,432927,426945,414831,404751
서울특별시,총계,50~59세,일반가구수,,501135,493490,484976,481368,479491
서울특별시,총계,60~69세,일반가구수,,378580,389637,395153,401483,413963
서울특별시,총계,70~79세,일반가구수,,222953,230719,242606,252306,262930
서울특별시,총계,80세이상,일반가구수,,55577,62707,70006,78046,88611
서울특별시,남자,총계,일반가구수,,1428538,1413474,1403100,1391061,1382905
서울특별시,남자,30세미만,일반가구수,,19015,15026,15797,16595,16342
서울특별시,남자,30~39세,일반가구수,,179029,170908,166800,162090,150635
서울특별시,남자,40~49세,일반가구수,,352891,341692,331731,317828,306325
서울특별시,남자,50~59세,일반가구수,,391688,383553,372800,366343,362163
서울특별시,남자,60~69세,일반가구수,,289530,296397,298143,300056,306778
서울특별시,남자,70~79세,일반가구수,,161447,166287,173398,178852,184708
서울특별시,남자,80세이상,일반가구수,,34938,39611,44431,49297,55954
서울특별시,여자,총계,일반가구수,,446757,450585,472089,493362,511970
서울특별시,여자,30세미만,일반가구수,,17344,13436,14457,15992,16418
서울특별시,여자,30~39세,일반가구수,,58023,55209,58449,61712,61734
서울특별시,여자,40~49세,일반가구수,,90748,91235,95214,97003,98426
서울특별시,여자,50~59세,일반가구수,,109447,109937,112176,115025,117328
서울특별시,여자,60~69세,일반가구수,,89050,93240,97010,101427,107185
서울특별시,여자,70~79세,일반가구수,,61506,64432,69208,73454,78222
서울특별시,여자,80세이상,일반가구수,,20639,23096,25575,28749,32657
종로구,총계,총계,일반가구수,,,29073,29821,30000,30499
종로구,총계,30세미만,일반가구수,,,545,619,691,710
종로구,총계,30~39세,일반가구수,,,2679,2773,2909,2887
종로구,총계,40~49세,일반가구수,,,6053,6113,5902,5836
종로구,총계,50~59세,일반가구수,,,7781,7834,7816,7814
종로구,총계,60~69세,일반가구수,,,5925,6080,6147,6496
종로구,총계,70~79세,일반가구수,,,4446,4576,4586,4636
종로구,총계,80세이상,일반가구수,,,1644,1826,1949,2120
종로구,남자,총계,일반가구수,,,20710,21052,20884,21071
종로구,남자,30세미만,일반가구수,,,279,337,347,347
종로구,남자,30~39세,일반가구수,,,1914,1925,1926,1887
종로구,남자,40~49세,일반가구수,,,4463,4443,4247,4155
종로구,남자,50~59세,일반가구수,,,5782,5791,5702,5672
종로구,남자,60~69세,일반가구수,,,4283,4389,4456,4688
종로구,남자,70~79세,일반가구수,,,2986,3040,3024,3017
종로구,남자,80세이상,일반가구수,,,1003,1127,1182,1305
종로구,여자,총계,일반가구수,,,8363,8769,9116,9428
종로구,여자,30세미만,일반가구수,,,266,282,344,363
종로구,여자,30~39세,일반가구수,,,765,848,983,1000
종로구,여자,40~49세,일반가구수,,,1590,1670,1655,1681
종로구,여자,50~59세,일반가구수,,,1999,2043,2114,2142
종로구,여자,60~69세,일반가구수,,,1642,1691,1691,1808
종로구,여자,70~79세,일반가구수,,,1460,1536,1562,1619
종로구,여자,80세이상,일반가구수,,,641,699,767,815
중구,총계,총계,일반가구수,,,21672,21775,22096,22517
중구,총계,30세미만,일반가구수,,,434,470,517,542
중구,총계,30~39세,일반가구수,,,2895,2868,2886,2874
중구,총계,40~49세,일반가구수,,,4502,4430,4306,4296
중구,총계,50~59세,일반가구수,,,5380,5265,5334,5379
중구,총계,60~69세,일반가구수,,,4439,4526,4657,4859
중구,총계,70~79세,일반가구수,,,3006,3118,3216,3262
중구,총계,80세이상,일반가구수,,,1016,1098,1180,1305
중구,남자,총계,일반가구수,,,15451,15393,15402,15443
중구,남자,30세미만,일반가구수,,,207,235,252,260
중구,남자,30~39세,일반가구수,,,2051,2000,1950,1900
중구,남자,40~49세,일반가구수,,,3292,3195,3074,2978
중구,남자,50~59세,일반가구수,,,4018,3890,3914,3915
중구,남자,60~69세,일반가구수,,,3272,3369,3407,3506
중구,남자,70~79세,일반가구수,,,1995,2043,2116,2122
중구,남자,80세이상,일반가구수,,,616,661,689,762
중구,여자,총계,일반가구수,,,6221,6382,6694,7074
중구,여자,30세미만,일반가구수,,,227,235,265,282
중구,여자,30~39세,일반가구수,,,844,868,936,974
중구,여자,40~49세,일반가구수,,,1210,1235,1232,1318
중구,여자,50~59세,일반가구수,,,1362,1375,1420,1464
중구,여자,60~69세,일반가구수,,,1167,1157,1250,1353
중구,여자,70~79세,일반가구수,,,1011,1075,1100,1140
중구,여자,80세이상,일반가구수,,,400,437,491,543
용산구,총계,총계,일반가구수,,,41181,41071,41552,41688
용산구,총계,30세미만,일반가구수,,,775,834,929,931
용산구,총계,30~39세,일반가구수,,,4936,4987,5138,4952
용산구,총계,40~49세,일반가구수,,,9077,8914,8687,8444
용산구,총계,50~59세,일반가구수,,,10016,9807,9933,10020
용산구,총계,60~69세,일반가구수,,,8143,8148,8336,8558
