기준년월, 처리지사코드, 금융지원구분, 지원자수, 지원금액, 적재기준일자, 적재일시
201901,6120,4,22,148480000,20191017,2019-10-18 5:55
201901,2021,4,34,185000000,20191017,2019-10-18 5:55
201901,7001,4,20,113640000,20191017,2019-10-18 5:55
201901,5160,4,67,437300000,20191017,2019-10-18 5:55
201901,3001,4,44,292600000,20191017,2019-10-18 5:55
201901,2060,4,84,565600000,20191017,2019-10-18 5:55
201901,3150,4,54,454840000,20191017,2019-10-18 5:55
201901,7120,4,7,63400000,20191017,2019-10-18 5:55
201901,3020,4,31,160500000,20191017,2019-10-18 5:55
201901,3120,4,27,197900000,20191017,2019-10-18 5:55
201901,6210,4,14,91300000,20191017,2019-10-18 5:55
201901,6230,4,31,247900000,20191017,2019-10-18 5:55
201901,6310,4,27,175700000,20191017,2019-10-18 5:55
201901,7210,4,44,252820000,20191017,2019-10-18 5:55
201901,4140,4,4,20600000,20191017,2019-10-18 5:55
201901,6220,4,13,77700000,20191017,2019-10-18 5:55
201901,5140,4,73,507700000,20191017,2019-10-18 5:55
201901,2040,4,87,543500000,20191017,2019-10-18 5:55
201901,4000,4,25,135620000,20191017,2019-10-18 5:55
201901,2140,4,23,160900000,20191017,2019-10-18 5:55
201901,4110,4,27,208780000,20191017,2019-10-18 5:55
201901,4030,4,30,131900000,20191017,2019-10-18 5:55
201901,4130,4,16,83100000,20191017,2019-10-18 5:55
201901,7220,4,6,30000000,20191017,2019-10-18 5:55
201901,5010,4,50,315760000,20191017,2019-10-18 5:55
201901,5000,4,93,611010000,20191017,2019-10-18 5:55
201901,5110,4,56,326280000,20191017,2019-10-18 5:55
201901,5130,4,30,190000000,20191017,2019-10-18 5:55
201901,2010,4,71,437130000,20191017,2019-10-18 5:55
201901,2000,4,108,643000000,20191017,2019-10-18 5:55
201901,2110,4,14,118400000,20191017,2019-10-18 5:55
201901,4001,4,19,137700000,20191017,2019-10-18 5:55
201901,2030,4,81,496940000,20191017,2019-10-18 5:55
201901,2130,4,15,124300000,20191017,2019-10-18 5:55
201901,4020,4,27,205360000,20191017,2019-10-18 5:55
201901,4120,4,23,137500000,20191017,2019-10-18 5:55
201901,3140,4,22,119090000,20191017,2019-10-18 5:55
201901,6000,4,60,443100000,20191017,2019-10-18 5:55
201901,5180,4,49,350300000,20191017,2019-10-18 5:55
201901,6110,4,55,343600000,20191017,2019-10-18 5:55
201901,6130,4,27,210200000,20191017,2019-10-18 5:55
201901,2011,4,43,243100000,20191017,2019-10-18 5:55
201901,5170,4,26,152500000,20191017,2019-10-18 5:55
201901,2080,4,11,63000000,20191017,2019-10-18 5:55
201901,5190,4,11,71100000,20191017,2019-10-18 5:55
201901,2070,4,57,357200000,20191017,2019-10-18 5:55
201901,2050,4,51,361200000,20191017,2019-10-18 5:55
201901,2150,4,2,9300000,20191017,2019-10-18 5:55
201901,5120,4,50,312190000,20191017,2019-10-18 5:55
201901,2020,4,76,426260000,20191017,2019-10-18 5:55
201901,2120,4,7,36500000,20191017,2019-10-18 5:55
201901,7000,4,68,400600000,20191017,2019-10-18 5:55
201901,7110,4,68,413600000,20191017,2019-10-18 5:55
201901,3010,4,40,274100000,20191017,2019-10-18 5:55
201901,3000,4,41,283220000,20191017,2019-10-18 5:55
201901,3110,4,39,241300000,20191017,2019-10-18 5:55
201901,6001,4,27,176000000,20191017,2019-10-18 5:55
201901,3130,4,52,386550000,20191017,2019-10-18 5:55
201901,5210,4,10,43500000,20191017,2019-10-18 5:55
201901,2000,1,40,283400000,20191017,2019-10-18 5:55
201901,2000,2,8,65700000,20191017,2019-10-18 5:55
201901,2010,1,39,249800000,20191017,2019-10-18 5:55
201901,2010,2,10,73900000,20191017,2019-10-18 5:55
201901,2011,1,23,151100000,20191017,2019-10-18 5:55
201901,2011,2,1,6000000,20191017,2019-10-18 5:55
201901,2020,1,33,191300000,20191017,2019-10-18 5:55
